"Record_@setEntry","Record_Access-Restrictions","Record_Access-Restrictions_0","Record_Access-Restrictions_1","Record_AccessionNumber","Record_AccessionNumber_0","Record_AccessionNumber_1","Record_Archives-Location","Record_Archives-Location_0","Record_Archives-Location_1","Record_Archives-Location_2","Record_Archives-Location_3","Record_Date-Received","Record_Date-Received_0","Record_Date-Received_1","Record_Description","Record_Description_0","Record_Description_1","Record_Description_10","Record_Description_11","Record_Description_12","Record_Description_13","Record_Description_14","Record_Description_15","Record_Description_16","Record_Description_17","Record_Description_18","Record_Description_19","Record_Description_2","Record_Description_20","Record_Description_21","Record_Description_22","Record_Description_23","Record_Description_24","Record_Description_25","Record_Description_26","Record_Description_27","Record_Description_28","Record_Description_29","Record_Description_3","Record_Description_30","Record_Description_31","Record_Description_32","Record_Description_33","Record_Description_34","Record_Description_35","Record_Description_36","Record_Description_37","Record_Description_38","Record_Description_39","Record_Description_4","Record_Description_40","Record_Description_41","Record_Description_42","Record_Description_43","Record_Description_44","Record_Description_45","Record_Description_46","Record_Description_47","Record_Description_48","Record_Description_49","Record_Description_5","Record_Description_50","Record_Description_51","Record_Description_52","Record_Description_53","Record_Description_54","Record_Description_55","Record_Description_56","Record_Description_57","Record_Description_58","Record_Description_59","Record_Description_6","Record_Description_60","Record_Description_61","Record_Description_62","Record_Description_7","Record_Description_8","Record_Description_9","Record_Donor-Office","Record_Donor-Office_0","Record_Donor-Office_1","Record_Donor-Office_2","Record_Donor-Office_3","Record_Extent","Record_Extent_0","Record_Extent_1","Record_Inclusive-Date","Record_Inclusive-Date_0","Record_Inclusive-Date_1","Record_Inclusive-Date_2","Record_Notes","Record_Notes_0","Record_Notes_1","Record_Notes_2","Record_Notes_3","Record_Title","Record_Title_0","Record_Title_1","Record_Title_2","Record_Title_3"
"2090","None","","","1991-118","","","Artifacts, cabinet #3, Artifact #89","","","","","September 1991","","","10 alumnae pins (no longer being used by association) used from 1984 to 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1984-1991","","","","None","","","","","None","","","",""
"2091","None","","","1991-119","","","JA 16 - Not found in box JA-16","","","","","September 1991","","","MSVU Financial information booklet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1990-1991","","","","None","","","","","None","","","",""
"2092","None","","","1991-120","","","Archives reference shelf","","","","","September 1991","","","A Guide to Women's Studies Resources MSVU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1991","","","","None","","","","","None","","","",""
"2093","None","","","1991-121","","","FC 26","","","","","September 1991","","","Newsreleases Sept. 19 and 26, 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1991","","","","None","","","","","None","","","",""
"2094","None","","","1991-122","","","HA","","","","","September 1991","","","The Picaro, vol 27, nox. 1-4, for September 4, 11, 18 and 25, 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","September 1991","","","","None","","","","","None","","","",""
"2095","None","","","1991-123","","","FC 20","","","","","September 1991","","","Background information of MSVU since 1965, memo prepared by Mr. Bianchini for W. Ingalls, September 27, 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","September 1991","","","","None","","","","","None","","","",""
"2096","None","","","1991-124","","","FC 24","","","","","October 1991","","","Connection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 1991","","","","None","","","","","None","","","",""
"2097","None","","","1991-125","","","None","","","","","1991","","","Convocation materials 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1991","","","","None","","","","","None","","","",""
"2098","None","","","1991-126","","","Theses EC","","","","","October 14, 1991","","","","Kitchin-Dunbar, Heather, honors theses Women's Studies, Five criminals, five Women, August 1990, not microfilmed","McGinn, Roberta, Gender Dimensionsof Worker Co-operatives in NS, Women's Studies, not microfilmed, August 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1990-1991","","","","None","","","","","None","","","",""
"2099","None","","","1991-127","","","FB","","","","","October 1991","","","","Corner Store cash sheets for 1990-1991","Vinnies Statements and cash tapes, 1990-1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1990-1991","","","","None","","","","","None","","","",""
"2100","None","","","1991-129","","","None","","","","","November 1991","","","1 box of Congratulations from various universities for new MSVU President, Dr. Elizabeth Parr-Johnston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1991","","","","None","","","","","None","","","",""
"2101","None","","","1991-130","","","GA 16 - returned to President's Office for culling November 2000","","","","","November 1991","","","note signed by Sister Francis d'Assisi in 1945 re Francis Leahy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1945","","","","None","","","","","None","","","",""
"2102","None","","","1991-131","","","BB 61 - RETURNED TO REGISTRAR JANUARY 22, 2003","","","","","November 1991","","","MSVU Financial information,1990-1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1990-1991","","","","None","","","","","None","","","",""
"2103","None","","","1991-132","","","Unit C, Bay 5, Shelf 4","","","","","November 1991","","","Staff reflections newsletter of the Staff Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 volume","","","October 1991","","","","CC 31","","","","","Staff Association","","","",""
"2104","None","","","1991-133","","","FC 24","","","","","November 1991","","","Campus Connection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","November 1991","","","","None","","","","","None","","","",""
"2105","None","","","1991-134","","","FC 26","","","","","November 1991","","","","Brochures of events, flyers, posters","news releases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1991","","","","None","","","","","None","","","",""
"2106","None","","","1991-135","","","FD 12","","","","","November 1991","","","Firmy rooted in Cultivar, sculpture by Thierry Delva, Art Gallery brochure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Art Gallery","","","","","None","","","1991","","","","None","","","","","None","","","",""
"2107","None","","","1991-136","","","GA 34 -  removed for culling by President's Office, 2000","","","","","November 1991","","","","Ceremonies of Convocation and installation of Elizabeth Parr-Johnston, 8th president of MSVU","Congratulatory message presented to Eliabeth Parr-Johnston by Barbara Casey, President of the Faculty Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","President's Office","","","","","None","","","October 20, 1991","","","","None","","","","","None","","","",""
"2108","None","","","1991-137","","","IC 13","","","","","November 1991","","","","Reference Librarian correspondence 1988-1989","External review of the Library unit terms of reference","","","","","","","","","","","Minutes of the Novanet acquisitions subcommittee, Novanet implementations committee, 1988-1989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","T. Paris","","","","","None","","","1988-1990","","","","None","","","","","None","","","",""
"2109","None","","","1991-138","","","HA","","","","","November 1991","","","The Picaro, Vol. 27, nos. 5-9 for October 2, 9, 23 and 30, and November 6, 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October to November 1991","","","","None","","","","","None","","","",""
"2110","None","","","1991-139","","","HC Scrapbook","","","","","November 1991","","","","Newspaper clippings:","Black students battle stereotyping, in the Mail Star, September 26, 1991","","","","","","","","","","","Photo find, Mail Star, Sept. 27, 1991","","","","","","","","","","","Series for young adults, Mail Star, Sept. 28, 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","September 1991","","","","None","","","","","None","","","",""
"2111","None","","","1991-140","","","HC Scrapbook","","","","","November 1991","","","","Newspaper clippings:","Elizabeth Parr-Johnston, Sept. 28, 1991","","","","","","","","","","","Parr-Johnston steps in at Mount, Mail Star, October 19, 1991","","","","","","","","","","","Academics debate Smith report on Universities, Daily News, Oct. 22, 1991","","","","","","","","","","","Univesrity Women are not babes, Daily News, Oct 27, 1991","","","","","","","","","","","Men don't always deserve benefit of doubt, Daily News, Nov. 4, 1991","","","","","","","","","","","","","","","","","","Archives","","","","","None","","","1991","","","","None","","","","","None","","","",""
"2112","None","","","1992-1","","","Theses","","","","","January 8, 1992","","","","An Analysis for Reconceptualizing the Junior High School Program in Antigua and Barbados, by Jean Edwards, 1991","An Analysis for Clothin an dTextiles by Coralita Shadrach, 1990","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Home Economic Department","","","","","None","","","1990-1991","","","","None","","","","","None","","","",""
"2113","None","","","1992-2","","","Box 21 (was BA-10), folder #25","","","","","January 21, 1992","","","Dean's list for 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Academic Deans Office","","","","","None","","","December 1991","","","","None","","","","","None","","","",""
"2114","None","","","1992-3","","","unknown","","","","","January 21, 1992","","","","Collective agreement between MSVU and International Union of Operating Engineers","Policies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unkonwn","","","","","None","","","January 10, 1992","","","","None","","","","","None","","","",""
"2115","None","","","1992-4","","","EB Faculty writings","","","","","January 21 1992","","","Office Work: The Impact of Microtechnology by S. Clark M. Dechman, L. Snider","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","None","","","1988","","","","None","","","","","None","","","",""
"2116","None","","","1992-5","","","","EC writing #90","Unit E, Bay 2, Shelf 5","Unit B, Bay 3, Shelf 6","","January 1992","","","Ten years of research 1982-1991 Institute for the Study of Women","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Institute for the Study of Women","","","","","None","","","1982-1991","","","","Was in box JA-16 and FC 25","","","","","Institute for the Study of Women","","","",""
"2117","None","","","1992-6","","","Unit D, Bay 1, Shelf 5","","","","","January 1992","","","","Convocation material for May 1991","Convocation Material for 1991 Fall - October","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office","","","","","1 file folder","","","May and October 1991","","","","FA 23 - returned to Student Affairs in 2000 (do not know if all of the material was returned)","","","","","Convocation","","","",""
"2118","None","","","1992-07","","","Unit E, Bay 2, Shelf 5","","","","","January 1992","","","Athletics/Recreation winter schedule","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","","1 document","","","Jan-Apr. 1992","","","","FC 16","","","","","Athletics/Fitness Centre","","","",""
"2119","None","","","1992-8","","","Unit B, Bay 4, Shelf 4","","","","","January 1992","","","Word of Mount, workshops and programs, January to April 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Campus Ministry office","","","","","1 volume","","","1992","","","","None","","","","","Campus Ministry","","","",""
"2120","None","","","1992-9","","","Unit E, Bay 2, Shelf 5","","","","","January 1992","","","Query, newsletter from the Computer Centre, Vol. 3, Nov. 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Computer Centre","","","","","None","","","November 1991","","","","FC-25","","","","","Information Technology and Services","","","",""
"2121","None","","","1992-10","","","FC 24","","","","","January 1992","","","The Connection for December 1991 and January 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office","","","","","None","","","1991-1992","","","","None","","","","","None","","","",""
"2122","None","","","1992-11","","","FC 26","","","","","January 1992","","","","Poster, booklets for Christmas events 1991","Newsletter from April 1991 to January 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office","","","","","None","","","1991-1992","","","","None","","","","","None","","","",""
"2123","None","","","1992-12","","","GA 34 - returned to President's Office for culling November 2000","","","","","January 1992","","","","Ceremonies of Conv. and Installation of Elizabeth Parr-Johnston as new president October 1991","Info on Blueprint 98 initiated by the new President E. Parr-Johston, the Connection, January 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office","","","","","None","","","1991-1992","","","","None","","","","","None","","","",""
"2124","None","","","1992-13","","","HA","","","","","January 1992","","","The Picaro, vol. 27, nos. 9-13, for Nov. 6, 20 and 27, December 4, 1991 and January 15, 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Picaro Office","","","","","None","","","November 6, 1991","","","","None","","","","","None","","","",""
"2125","None","","","1992-14","","","Scrapbook","","","","","January 1992","","","Joyce Deveau Kennedy, Daily News, January 7, 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Newspaper","","","","","None","","","January 7, 1992","","","","None","","","","","None","","","",""
"2126","None","","","1992-15","","","IC 13","","","","","January 1992","","","MSVU Periodical holdings list 1988-1989, 1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","None","","","1988-1989","","","","None","","","","","None","","","",""
"2127","None","","","1992-16","","","Unit B, Bay 3, Shelf 5","","","","","January 1992","","","1992-1993 Marketing plan for MSVU Business Society, student writing by D. Lawther, K. Petipas and S. Patriquin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S. Patriquin, student","","","","","None","","","1992-1993","","","","Was in box JA 11","","","","","None","","","",""
"2128","None","","","1992-17","","","Unit B, Bay 3, Shelf 7","","","","","January 1992","","","Child Study newsletter Dec. 1991 #3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Child Study centre","","","","","None","","","December 1991","","","","None","","","","","None","","","",""
"2129","None","","","1992-18","","","Relocated to photograph storage, photo #1382  (was in Artifacts #90)","","","","","January 1992","","","Two copies of a colour photograph of the M team 1989-1990 slow-pitch baseball team","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office","","","","","None","","","1989-1990","","","","None","","","","","None","","","",""
"2130","None","","","1992-19","","","HC Yearbook","","","","","January 1992","","","1990 MSVU Yearbook","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Student union","","","","","None","","","1990","","","","None","","","","","None","","","",""
"2131","None","","","1992-20","","","Unit C, Bay 5, Shelf 4","","","","","February 1992","","","Staff Reflections, newsletter February 1992 issue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Staff Association","","","","","1 volume","","","1992","","","","CC 31","","","","","Staff Association","","","",""
"2132","None","","","1992-21","","","Unit E, Bay 2, Shelf 5","","","","","February 1992","","","Newsrelease:  Mount Mystics, new logo for Mount teams","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs","","","","","1 document","","","January 20, 1992","","","","FC 16","","","","","Public Affairs","","","",""
"2133","None","","","1992-22","","","FC 24","","","","","February 1992","","","National week of Reflections re:  Montreal Massacre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Student Union","","","","","None","","","November 18-22","","","","None","","","","","None","","","",""
"2134","None","","","1992-23","","","None","","","","","February 1992","","","The ISW Bulletin Fall 1992 issue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Institute for the Study of Women","","","","","None","","","Fall 1992","","","","None","","","","","None","","","",""
"2135","None","","","1992-24","","","FC 24","","","","","February 1992","","","Campus Connection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public affairs","","","","","None","","","February 1992","","","","None","","","","","None","","","",""
"2136","None","","","1992-25","","","FC 26","","","","","February 1992","","","","Update memo on Learning and Leading Campaign","Newsreleases 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs","M. Moulton, Director of University Relations","","","None","","","January 1992","","","","None","","","","","None","","","",""
"2137","None","","","1992-26","","","GA 27 - removed by President's Office for culling in 2000","","","","","February 1992","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","President's Office","","","","","None","","","1990-1991","","","","None","","","","","None","","","",""
"2138","None","","","1992-27","","","HA","","","","","February 1992","","","The Picaro, Vol. 27, nos. 14 to 16, January 23 and 30, and February 6, 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Student union","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2139","None","","","1992-28","","","Unit B, Bay 4, Shelf 1","","","","","February 1992","","","News release announcing new degree title and program change for Office Administration Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs","","","","","None","","","February 5, 1992","","","","None","","","","","None","","","",""
"2140","None","","","1992-29","","","HC Scrapbook","","","","","February 1992","","","","Newspaper clippings:","Universities not going to Commit hari-kari for efficiency, Mail Star, December 20, 1991","","","","","","","","","","","MSVU requires a Director, Centre for Women in Business, Mail Star, October 29, 1991","","","","","","","","","","","Mount's Computer Centre trashed, December 8, 1991, the Daily News","","","","","","","","","","","Alleged pension abuse leads to Mount lawsuit, February 8, 1992, the Mail Star","","","","","","","","","","","Why Cameron's Popular, Daily News, Feb. 1, 1992","","","","","","","","","","","Nothing rational about Sydney Native's arts career, the Mail Star, Feb. 13, 1992","","","","Mount's new centre to aid femail entrepreneurs, the Daily News, Feb. 16, 1992","","","Archives","","","","","None","","","1991-1992","","","","None","","","","","None","","","",""
"2141","None","","","1992-30","","","None","","","","","February 1992","","","Floor plans of the EMF Centre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Terry Paris, Library","","","","","None","","","None","","","","None","","","","","None","","","",""
"2142","None","","","1992-31","","","EC Theses","","","","","March 9, 1992","","","Visual spatial measures of Selective attention....by Helen Moulton, MSVU Masters 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Education Department","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2143","None","","","1992-32","","","IC 14","","","","","April 1, 1992","","","Various files from T. Paris","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","T. Paris, Library","","","","","None","","","1989-1990","","","","None","","","","","None","","","",""
"2144","None","","","1992-33","","","Theses","","","","","April 7, 1992","","","","The Delphi technique as a planning process, by c. Hiltz","A Clinical Examination of Aggression, by A. Campagnani","","","","","","","","","","","Counselling needs of Micmac student by C. Dolan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Education department","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2145","None","","","1992-34","","","","Unit A, Bay 1, Shelf 1","(original located at Motherhouse archives)","","","April 1992","","","","Academy Registers Listing students from 1951-1972","Academy Register 1950-1962 (photocopy, artifact #52, now filed in box 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumnae","","","","","None","","","1951-1972","","","","None","","","","","Alumnae Relations","","","",""
"2146","None","","","1992-35","","","CC 31","","","","","April 1992","","","","Pay equity at MSVU Issue #3, April 6, 1992","Memo dated APril 7, 1992, Quality of Life committee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Staff Association","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2147","None","","","1992-36","","","Unit B, Bay 3, Shelf 7","","","","","April 1992","","","Results of a student survey conducted in early 1975
Response cards (to be deaccessioned according to Archives policies).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1975","","","","None","","","","","None","","","",""
"2148","None","","","1992-37","","","Unit D, Bay 1, Shelf 5","","","","","April 1992","","","Convocation materials, 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs office","","","","","1 file folder","","","1992","","","","FA 23 - returned to Student Affairs in 2000 (do not know if all of the materials were returned)","","","","","Convocation","","","",""
"2149","None","","","1992-38","","","FC 24","","","","","April 1992","","","Campus Connection for March and April 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs office","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2150","None","","","1992-39","","","FC 20","","","","","April 1992","","","Info on MSVU from Kappa Gamma Pi News, Feb. 1992 issue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumnae","","","","","None","","","February 1992","","","","None","","","","","None","","","",""
"2151","None","","","1992-40","","","FC 26","","","","","April 1992","","","Newsreleases dated Feb to April, 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs Office","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2152","None","","","1992-41","","","Unit E, Bay 2, Shelf 5","","","","","April 1992","","","Curriculum resource centre, news and views, 1991-1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rosemary Willett, Curriculum, Library","","","","","1 folder","","","1991-1992","","","","FC-25","","","","","Education","","","",""
"2153","None","","","1992-42","","","Unit E, Bay 1, Shelf 1","","","","","April 1992","","","Exhibits from  1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Art Gallery","","","","","None","","","None","","","","None","","","","","Art Gallery","","","",""
"2154","None","","","1992-43","","","Unit E, Bay 1, Shelf 1","","","","","April 1992","","","Art Gallery Annual Report 1990-1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Art Gallery","","","","","None","","","1990-1991","","","","None","","","","","Art Gallery","","","",""
"2155","None","","","1992-44","","","FC 34","","","","","April 1992","","","Memo from Lois Dyer Mann, Third Quarter financial result","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vice President's office","","","","","None","","","Feb. 28, 1992","","","","None","","","","","None","","","",""
"2156","None","","","1992-45","","","GA 34 - removed for culling by President's Office 2000","","","","","April 1992","","","","Memo from Elizabeth Parr-Johnston, President, Blueprint 98","Memo from President ""Update on University Rationalization date, Feb. 12, 1992""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","President's Office","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2157","None","","","1992-46","","","HA Section","","","","","April 1992","","","The Picaro, Vol. 27, nos. 17-22, February 26, March 4, 11, 19 and 26, and April 1, 1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Picaro office","","","","","None","","","1992","","","","None","","","","","None","","","",""
"2158","None","","","1992-47","","","IC 13","","","","","April 1992","","","Dialog, Bibilographics services requests for 1990-1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Terry Paris, Librarian","","","","","None","","","1990-1991","","","","None","","","","","None","","","",""
"2159","None","","","1992-48","","","ID 14","","","","","APril 1992","","","MSVU Guide to Library of Congress classification Sept. 1971","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unkown","","","","","None","","","1971","","","","None","","","","","None","","","",""
"2160","None","","","1992-49","","","Unit B, Bay 3, Shelf 7","","","","","April 1992","","","Campus Connection:  Article on program changes for Bachelor of Applied Arts (Child and Youth study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs","","","","","None","","","March 1992","","","","None","","","","","None","","","",""
"2161","None","","","1992-50","","","Unit B, Bay 4, Shelf 1","","","","","April 1992","","","Campus Connection, article of program change for Bachelor of Applied Arts (Information Management)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs","","","","","None","","","March 1992","","","","None","","","","","None","","","",""
"2162","None","","","1992-51","","","EA Theses","","","","","April 1992","","","","Interpretations of a Classroom Culture by Joyce Louise Davies, 1981","Information Referents and Patterns, by A. A. Oberg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dr. N. Hersom","","","","","None","","","1975,1 981","","","","None","","","","","None","","","",""
"2163","None","","","1992-52","","","Audio-Visual JB #298","","","","","April 1992","","","Library orientation of Child Studies Given by T. Paris, 1976-1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","T. Paris, Library","","","","","None","","","1976-1977","","","","None","","","","","None","","","",""
